comment	score
前保险没雾灯、轮胎和轮毂、还有反光镜得手调、机器声音太大！机舱漏水！	-1
噪音比较大，耗油大。	-1
大灯竟然不是LED，全车影像不能选择	-1
外观设计因为年代原因，在现如今时代缺少亮点，整体形状的视觉表现显得车很短。	-1
还没有发现，就是刹车片爱生锈，硬塑料太多了，中控台也比较短，反正都不太重要吧！	-1
内饰中庸、还用仿桃木、初段油门滞后，后排座椅放倒后与后备箱不平整。	-1
就是需要等待，订车的人太多，我都等一个月才提的车，并且没有优惠，为毛呢？	-1
没有后排出风口第二排靠背不能调节	-1
底盘有点低，不过有利于操控	-1
蜡烛黄日行灯板车后悬挂	-1
1.8T（2.4自吸）的动力，1.6自吸的油耗	1
可能是新车，起步松油门会有吱吱声	-1
有异响！速度达到120之后车门处有嗒嗒的响声目前跑了800公里显示8个油平时上下班开油耗下不来可能与磨合期有关还有就是上下班路程比较短	-1
空间确实是不小，特别是后排的。	1
动力液晶仪表盘大灯氛围灯颜色	1
噪音，油耗有点高。	-1
内饰吧没有高端车那样的感觉比较价格在这	-1
性价比高。空间大。	1
噪音大、胎噪、发动机噪音都大！	-1
120时候的风噪声很吓人还有就是怠速抖动40码抖动。大灯近光在没有路灯的地方真的让人不敢开	-1
空间大，轮胎的牌子很给力	1
外观设计，路上博得好多人的回头率哦。	1
一个多月的车生锈，他妈的生锈，透过车漆生锈，自行车都没这么快生锈的	-1
高油耗了，毕竟车身自重在那里，烧油确实是要比同级别的车要多一点。方向盘略重	-1
电动座椅不能一键调节，需要按着不放。	-1
BMW的品质吧或者说是做工	1
刚买的新车，战时没有发现有什么不妥的地方	-1
内饰没档。交订金后，去看车，手豪变手舒，3000没卡也没了，销售人还有狗眼***	-1
小问题太多：喇叭不回位，半夜喇叭自己响；发动机舱在车辆启动时有异响；	-1
油耗油耗油耗重要的事要说三遍	-1
前置后驱，噪声有点大。中控台塑料感太强。其它还没发现主要我才开不到300公里，也体会不出来那么多吧。	-1
内饰，不说也罢，满目疮痍，十年前的设计，二十年前的用料	-1
尼玛，寻车键两米内才能感应到，这距离还寻个毛啊！自带导航，哎，厂商不知道怎么想的！根本就搜索不到目的地！！！！！！	-1
前面一直都没有直到最近去一个小乡村全是烂路回来过后只要一走烂路中控台还有天窗就有嗡嗡的异响，就像2块塑料板中间有缝隙的那种。	-1
内饰，CUE大坪逼格满满，整体看起来很有档次猛一看就是豪华车，对比奥迪也不觉得缺少科技感。	1
性价比不高，价格有点虚高。	-1
空间，外观，国产。	1
玻璃一键升降有点问题。	-1
没后排出风口，不是自动空调，不是独立后悬架	-1
后备箱关的时候感觉太廉价了，没有胎压监测和倒车雷达，还有不到五万的宝骏310都有定速巡航了这车都没有	-1
知名度不高，不知道的人家还以为是什么国产车，说了人家也不认识。有待以后知名度的提高。	-1
什么时候看起来都不觉得腻，也从来不觉得它是一台旧车子！	1
原装中控屏比较小，后排没有经过加长不过后备箱空间补回来了。	-1
没有水温表。以下所有评价均是基于此价位的情况下作出的评判。	-1
换挡的时候有点小抖·空调声音比较大	-1
车子钣金不咋地有一个小树枝都能刮花，整车铁板较薄，用手一按就会忽闪忽闪的。再有就是车内异响就和那松是的。	-1
就是新桑塔纳的设计缺陷：前发动机舱漏水了手刹和扶手箱起冲突	-1
外观吧，买这车都因为外观	1
后备箱车门不是电动车门，后备箱离地较高	-1
离合器行程感觉太长了手动的档杆换挡感觉不平顺	-1
4S店较少，底盘有点低，刹车有点软，是不是走舒适性路线刹车就软啊	-1
街车，到处都是，一个大点的停车场至少七八台。	-1
空间大，家人个子都比较高	1
那就是经典轩逸没有发动机防盗，和中控扶手。	-1
空间大，配置比较全如ABS，ESP，倒车影像及雷达，主副驾安全气囊及侧气囊等等都有。高配车还有天窗，定速，日行灯，后视镜加热等。全车整体皮厚结实耐操。	1
座椅比较硬，跑长途可能会有点累	-1
D2变D3有窜车的感觉。	-1
悬挂硬，内饰储物空间少了，别的没什么说的	-1
8寸屏幕却没有倒车影像	-1
空间大，国产这个价位的所有SUV基本上都去看了坐了，在空间和乘坐舒适度综合来说，没有谁能比得上，看车一直是带着老婆孩子一起去的，老婆一坐上去基本上就决定了	1
颜值高，红色的更是出类拔萃	1
b柱，60码以上偶尔有碎石子一样的异响	-1
胎噪大，没有遥控钥匙。车内异味大。	-1
商圈没形成，地理位置也比较偏，所以，我开始的预期也不是很高。	-1
最满的就操控和动力了丶	1
外观啊，谁买它不是因为外观！	1
才开过几次还不知道，以后追加。车子启动后收音机老是自动打开，要是不想听，只能手动暂停.	-1
空间小，内饰有待提升。	-1
空间大，同级别的车没有超过他的吧。	1
就是全景影像少了前面一块	-1
底盘硬，有共振，	-1
车内异味。久久不消除。尝试了活性炭，鲜水果，活植物，然并卵。最后暴晒几天，略有好转。但有味道癖的我还是无法接受这样的异味。	-1
性价比能高点，基本该有的功能都有！	1
车子基本上就是没有换代过，基本上还是这样样子，希望能够看到比较的脱俗的外表出来	-1
倒车灯不太亮，晚上看反光镜倒车看不清楚	-1
还是排量小了，自动挡的车看来要1.8以上的排量就好多了。	-1
说到漏风现在还没感觉到。还有就是尾车灯的LED没配上。	-1
一些小异响，特别是加油时的滋滋声，不过勉强接受。	-1
异响，异响还是异响，我才5000多公里，	-1
大空间无疑质问的就是他。	1
油耗，农村路居多，老塞了，目前2300公里，平均车速27公里/小时，平均油耗8.6L/百公里	1
刚买来没多久，还没有察觉什么缺点，等有了再补充哈。	-1
油耗稍微有点高、倒车影像分辨率低.	-1
异响，异响，异响！	-1
