comment	score
玻璃刚开始降下来的时候跟掉下来似的；轮胎噪音大且偶尔会有异响。	-1
没有倒车影像以及大傻瓜变速箱…	-1
停止时变速箱还是发动机带动车身抖动不是很明显通病	-1
买车后除了洗车加油路上跑没动过别的，油表显示油耗8升，实际加油票合计375升，剩半箱偏右油，总里程5550公里。实测算油耗6.2升/百公里	1
铁轮圈真丑，一个合资车钥匙整的像个电动车钥匙一样	-1
当然是美美哒外观再加四个圈啦。	1
指向和原来的轿车比起来，不是那么精准。	-1
空间动力音响底盘油耗总之把日本车该有的优点都发挥出来了	1
非承载式车身和分时四驱系统	1
简配的地方太多，最起码电子手刹应该配	-1
没有日行灯。只有高配才有。	-1
车门有点难关，得用力才能关紧	-1
这样大的车，油耗较低。	1
L6的平顺谁用谁知道绝版了珍藏了！	1
刹车有响，但这是小毛病。	-1
后排座椅为什么不能放倒	-1
储物地方太少，就一个小地方，手机都没有地方放，唯独方向盘下面一个储物盒	-1
空间、视野、长途驾驶的舒适性	1
性价比，操控感，品牌价值。	1
1.3t动力，和6mt变速箱，中控和音响。	1
空间，配置，内饰，外观	1
内饰（真皮座椅，真皮方向盘，岑木装饰，BBA中翘楚）	1
这还用问，当然是外观了	1
躁音有点大,屁股高一点美死你。	-1
这动力也真是醉了	-1
没有前车雷达影响。	-1
钢圈钢圈钢圈钢圈，没有几个车用钢圈了？	-1
后备箱有些异响，不过缠过电工胶基本解决.	-1
牌子呀，这可是宝马，倍有面子这下	1
缺少两样重要配置，雷达和胎压，	-1
1月提车，现在不到半年1.5t也出了，1.8的官降5000，也没有给我们老车主的补贴。	-1
非混动版全系没有行李架，搞什么鬼。	-1
车漆薄，在路上被小石子飞打一点点掉漆还会生锈！	-1
一汽丰田4S店的服务还是比其他的品牌要强一些.	1
刚上市，要加价，没性价比。	-1
轮子会有异响，引擎盖会挡视线	-1
小二的外观，空间，内饰	1
后轮刹车不是碟刹，还有尾门没有防盗功能	-1
油耗高，油耗高，油耗高，重要的事情说三遍	-1
风尚的配置以及仪表中控在众多档次较高型号中（如5系7系X5甚至M系列都不掉档次	1
说到油耗那真是很受伤很受伤啊	-1
离合问题和方向盘的精准度。	-1
发动机的声音比较大，特别是在启动时，就听到哒哒哒的声音比较明显，行车中开着音乐也听不到了！	-1
后备箱被电池占据，有点小	-1
舒适性太糟了座椅太硬乘坐太累	-1
就是空调的声音太响了	-1
限量版居然没有标配电吸门	-1
