comment	score
买的时候没有什么优惠	-1
性价比，目前同等价位超值	1
18寸的轮毂，电动后视镜	1
门里面的位置是那种布的，虽然家里开车的人不多但是用久了还是会脏的，到时候清理会比较困扰吧	-1
车子配置高，十万左右的价格，配有全景天窗，电子手刹，12寸显示屏，一键启动...等等这些功能，也就只有众泰了	1
配置，前后大灯组，内饰大屏，优惠大	1
日间行车灯，一件启动，真皮座椅，八寸显示屏，胎压检测，空间，储物等等	1
目前12档位的怠速有点牵制车的速度。	-1
右前方视野受车内后视镜影响太大，右转要注意摆头。	-1
新加的多功能方向盘，6.5大屏，无钥匙进入，启动，比较提升档次！	1
后面的双排气管没有展示出来，不知道还以为是单排气管	-1
发动机声音大，挂倒档会响。轮胎经常扎到。	-1
油耗高！轻踩刹车有易响！可能途观都是这样吧	-1
车的加速噪音大，地盘底，后备箱小。	-1
油耗有点高.对于1.7吨的大博瑞.勉强接受吧.哈哈O(∩_∩)O	-1
座椅不是真皮的。二十万以上的车这是个软肋。这个价位的中级车几乎都是真皮座椅。	-1
车漆薄，后备箱盖材质。同价位与国产比，配置低，胎压，定速，自动头灯都没有。真心希望日产以后能把这些不费钱的配置都配上！	-1
外观！！！外观！！！外观！！！重要的事情说三遍！说三遍！说三遍！	1
随叫随到的动力，迷人的钻石切割	1
自动启停踩的脚有点累，胎噪音大	1
冷车启动时发动机声音太大，要一分钟后才小下来	-1
油门一秒延迟，还有后备箱略小	-1
空间大，内饰规整。外观美丽。	1
有时候发动机噪音有点大，不过后期自己装了隔音棉，现在就基本没有什么影响了	-1
空间大，这段时间正好搬家，没少出力，冰箱都是拿他拉的，坐过的朋友都说空间大，后排靠背角度很ok。	1
车辆的内饰，及配置	1
方向和刹车有点异响，不过能忍受	-1
做工较粗、漆面较薄	-1
异响，车门异响，中控异响，打死方向转弯异响。	-1
车的空间大耗油特别的低	1
买了库存车，存放时间太长了	-1
转速过了3000发动机声音偏大	-1
国产其次是外观	1
加速呼噜声这个问题很多之前车主应该都是有的，我7月份买的车，提车竟然是2月份的，也是老机脚。	-1
内饰缺乏档次，看着没新意。	-1
车身有一点点异响，一直没有解决。	-1
车子刚买回家那会儿，会经常感觉到有些难闻的气味，放了柚子皮和空气净化器，现在已经几乎闻不出味道了。	-1
起步太肉，轻点油门发动机发出咆哮的哄叫声，全景摄像少了前面一块，一片黑啊。车载导航太老旧，只能看不能用。开机广播就自动播放，特别是停在地下车库无信号时，呲呲得心里发麻。	-1
凯翼做的活动太少了，没什么优惠。	-1
因为是新手，基本在城区跑，高速也是很短一段就下了，所以油耗稍微有点高，但也在接受范围内	-1
后排不能放倒，空间的利用没有变化。	-1
外观个性，油耗表现出众	1
车体有些地方已经开始生锈了，这才一年的车啊！	-1
空间、黑色内饰、软塑料的换挡杆、沙发座椅。	1
醉人的低速一二档时发动机声音，也真是醉了！！阵阵低沉的嘶吼，只引得身旁路人一致的侧目，关注度从此开始。我已经将马总家的隔音棉贴上，效果甚不明显，难道主要是用来隔热的？厂家缺省此项，是有道理的！	-1
各方面较均衡，非常适应新手使用。	1
天窗不能全部打开，升降窗户声音还是比较大的	-1
皮软，之前别人反应过，自己用后确实软	-1
有驾驶乐趣，有踩油门的那种快感---	1
自适应巡航、城市预碰撞	1
后排空间比较小，坐下人的空间都少之又少	-1
外观！动力！油耗！	1
车漆薄，油门响应不能完全随心所欲，没有后出风口，转弯半径稍大。	-1
拉轰、回头率百分之三百~好多人专门追我敲我车窗问我这是什么进口车，很贵吧~还经常被看车的师傅告知：今天有很多人围观呐、、哎呀~虚荣心爆满有木有、、	1
起步略肉，过大的减速带颠簸	-1
外观造型，内饰设计用料	1
支持自主品牌的车车，小五是我一直很看好的一款车，买车就是它了。.。。。。	1
天冷或者有水的时候打方向过大有响声	-1
价格，车窗，动力，等等	-1
座椅低了点，底盘在高几厘米.还有宝马的音响不怎么样.	-1
提速快。油耗低。	1
副驾驶位置有异响，是通病来的，过减速带时就会响	-1
40TFSI运动型的quattro四驱是我买它的主要原因	1
这新车气味真的是太重了，现在都不敢关窗!	-1
车内储物空间太少，连个放手机的地方都没有。	-1
空间大、全时四驱、水平对置发动机、油耗低。关键新疆地区冬季雪多，为了安全起见，全时四驱的车不多，适时、分时四驱我都看不上。	1
噪音太大，油门不灵敏	-1
好好看着挺秀气属于低调不失身份的感觉	-1
CVT变速箱，加速平顺，感觉良好。	1
噪音吧。100码能接受。120高速时需要把音量调到20左右。	-1
中程提速迅猛，动力源源不绝。让你感受什么叫驾驶乐趣。	1
向这样的的车，能算得上是进口车吗？就座位上的把手没计都有曲线，	-1
没有胎压监测和定速巡航。	-1
内饰，空间，科技智能	1
个人觉得新车味道相当臭，已经用很多活性炭和茶叶还是臭！	-1
丰田发动机+爱信变速箱组合	1
油耗超出预期太多。	-1
底盘确实稍微低了点，不过加了发动机护板，刮擦基本都擦到护板上了。	-1
没有电动座椅，轮胎胎噪过大。	-1
制造工艺有待提高，内饰方面的细节考虑不周到	-1
颜值，动力，空间，高科技配置，拒绝街车！	1
4S的服务和售后，吉利既然在向高端做，这些基本的东西和服务应该加强。	-1
减震是硬伤，内饰塑料件太多，跑烂路有异响	-1
高速方向太松，要抓紧。	-1
后排空间，家用只能2人带娃娃。不过买的时候就没对空间有多大期望。	-1
整车做工以及行驶中的质感，	1
发动机噪音大，比开过了6年的马自达的声音还大，不知道是我这车的发动机有问题，还是本来就是这样的。抖得凶。有空了还是去找个专业的看看，开始买的时候我就给销售人员说发动机抖，他说是这样的。	-1
漆有些薄，陪一下就掉漆，不知道其他车怎么样	-1
外观我强烈支持，我第一眼就是被外观看中的。	-1
后备箱小，有些小异响	-1
车内多处有异响一档和倒挡难挂吸入感不强门板按一下就响	-1
到现在只有收音机的问题	-1
开了运动模式后，车子的变化不是特别明显。	-1
小问题太多，一个月不到去店里5次了	-1
后悬挂略硬，过坎后排感觉不好。	-1
车身各处缝隙有点大，漆薄。	-1
驾驶座位后面没有网袋,内饰不变的风格（缺乏创新	-1
减震有点硬压到小石子能感觉到都	-1
底盘硬起步发动机噪音大后备箱确实不大	-1
现在发动机异响有点儿明显，怠速时候尤其明显。	-1
本来就是冲着外观来的。	-1
小毛病特多，现在买了很后悔	-1
倒车！倒车！倒车！有时候真的要轻轻点下油门！	-1
离合太高，开车送一，累脚	-1
油耗确实是低啊，磨合期跑高速平均每公里3毛！	1
外观空间内在品质	1
车窗玻璃偶尔有共振，是在可接受范围内。	-1
减震调教的硬，遇到坑坑包包的地方必须减震慢行	-1
油耗比预想的高一点	-1
A柱过大，在左转或观察左侧45度左右时，明显看不到！还有过硬路时颠簸感和噪声真心有点大。	-1
内饰做工有待加强，新车有味道	-1
车内的内饰设计跟A4一个模样，没有新意，熟悉A4的人都审美疲劳了。后排中间基本是坐不了人的，就算坐进去，两条腿都不知道该往哪放。	-1
现在天冷了，天窗和门玻璃在过烂路时有异响，很影响心情	-1
费油有时候加油窜车	-1
行车电脑显示的油耗和实际油耗很不相符	-1
价格，不能和大城市比啊！	-1
外观、空间、内饰。	1
男人开的车，后排座椅放倒后空间大！	1
轻给油，发动机声音小，	1
在我看来何止一个“坑”字，唯一能算作优点的就是空间了。	1
就是外观，就是外观，就是外观。重要的事情说三遍。	1
A柱有点大，为了安全，忍忍吧。车长算不？缺电尾门、座椅通风算不？	-1
没有任何辅助功能，简配到家	-1
D档市区50K时速是，DSG会跑到D5档，发动机转速1500转左右，不但缺乏动力，而且低频的轰鸣声很塞耳朵。	-1
本来就是5座车，加上底盘离地间隙大，总感觉车身有点窄。	-1
发动机.底盘...外观...全景天窗...	1
二次进气的噪音简直像要飞	-1
自动风尚没有雾灯，不过感觉雾灯也没啥用。	-1
过减速带时太硬的悬挂。	-1
油耗，还有驾驶位水杯	-1
新车行驶就有向右偏的现象，4S正在做胎压检查和做4轮定位。做好4轮定位再看看。	-1
外观，外观，外观，重要的事情说三遍！	1
汽车的整车设计感太美了。	1
买回来之后感觉安装的导航不是原厂的导航，买导航屏保找了很多店铺，都不是一样的	-1
SD拉居然只有高配才有。还有就是4儿子太tn的坑了，欺负咱没买过车是吧？	-1
还是有面子吧,我妈妈都说我,不知道的人看我开这个车还以为我是什么公司老总..	1
新车上市没有什么优惠，送的东西也少	-1
