comment	score
新车暂时没有发现，对了雨刷器使用时有哒哒的声音。	-1
油耗就不提了，其他方面空间天窗真皮多功能，十几万的车子你还要求什么？	1
外观，中控，安全配置，座椅用料，电子手刹	1
后备箱空间略小，放一个儿童车就不能在放其他的了，犹豫是刚上市新车，没有优惠。目前就是音响有支支声，咨询过几个车友，有同样问题	-1
排量和轮毂尺寸有点小了、家庭使用、这个车1.8L的排量加17寸轮毂绝对经典，纯属个人看法	-1
油耗稍微高了点，不过别克的车都这样	-1
经济实惠 车皮实 毛病少 外观爷们	1
收音机不能关，没有插内存卡的槽，就只有一个点烟器接口，就一个点烟器接口，就一个点烟器接口（重要的话一定要说三遍），其次就是后备箱小了一点。	-1
没倒车雷达，老式的收音机中控和外观一点也不搭，爬坡是真心的吃力呀	-1
日系车，钣金确实有点薄，关左前车窗的时候能感觉门子有往上提。天窗开启关闭，后半段有异响，但看4S店别的车也都多多少少有些。	-1
减震 悬挂 驾驶视野 空间 板金 视野	1
外观真的越看越上瘾，特别是眯眯眼	1
偶尔各处异响，空调好像需要抽真空，咋一开空调 异响刺耳10秒后消失。前后没有防撞梁!!!!!!!!.	-1
目前油耗稍微有点高，不堵车的情况下9.5	-1
悬挂方面，作为原厂来说，双R都算比较硬了，但是蛇形变向侧倾还是比较明显。这车要改，先从悬挂开始吧。	-1
内饰看的太廉价了，要么是织物要么就是塑料，	-1
你们家的明锐也是这样的油耗吗？我有点不高兴的。	-1
简配了……雷达，胎压监测，前中央一体扶手箱……全景天窗都标配了，难道这些配置很贵很花成本吗？	-1
后排直，胎噪大了点，启动短时间内声音大，估计冬天会很生猛	-1
起步太肉了，夏天开空调的话三挡起步都不是不可能。	-1
还是扳金问题，有些地方缝大了些，车门焊点不平整	-1
感觉这个油耗真的不低的，虽然它的1.8T动力在这里摆着呢，但是还想能不能低一点呢。	-1
外观是我看上这车的主要因素。	-1
后轮又异响速度超过50（转速2000-2500）以上人坐到车里面耳朵都有点承受不了	-1
没有倒车雷达，没有胎压监测，这个级别的车应该标配	-1
动力，男的开车最关注的还是动力，1.8T的发动机带这么大的车，动力还是满够用的	1
因为除了前排外，二三排都没有配备空调出风口，第二排座椅挡住第三排，所以夏天坐在第三排会感到比较热。	-1
流线的车身，双门的动感，回头率居高不下。	1
后备箱有点小，排烟管新车就是生锈的，鄙视一把。	-1
油门踏板和制动踏板挨得有点近，没有AUX有点不安逸，备胎有点对不起观众	-1
完全缺位的科技配置（无大屏幕、无倒车影像、无倒车雷达、无无钥匙进入、无胎压监测），约等于上世纪的车。	-1
减配后，轮胎变小了，走起来没有稳实的感觉。	1
中控很多功能是没用的，最常用是蓝牙电话和播放音乐??，导航还是用手机的吧。	-1
没有雾灯，然后轮毂也是钢的。当然，自己没那么米。从马云那淘了倒车影像，行车记录仪，脚垫等等	-1
油耗，油耗，油耗 重要的事情说三遍！	1
因为无框车门的关系，虽然提升了逼格，但是风噪明显。	-1
油耗有点高~13.5L，在接受范围内	-1
后备箱位置没有开关只能用遥控或者车门上的开关。后视镜上没有转向灯。。。	-1
起步略显沉闷，4儿子洗车也不认真，水冲洗一下就完了！再次谴责4儿子！	-1
后排放脚的位置是平的，而且空间比较大。	1
后排空间，尤其是中间突起太高，让后排乘客感觉很拘谨！	-1
后备箱感觉有点小  中控有点小异响   最坑爹的就是远近一体的大灯  风躁和胎噪略高	-1
做工用材，塑料感多，储物空间较小	-1
