comment	score
3、二排没有出风口，天气热时刚坐上车会感觉到热	-1
一二挡发动机吵。autohold车身抖动。后备箱比较小。	-1
离合器太高太重，POLO是我开过离合器最重的小轿车，隔音不如瑞纳 K2 发动机静音效果也不如瑞纳K2 。。威驰和致炫没开过 ， 不知他俩怎么样。。	-1
轮胎起皮，导航很旧，很多地方地图上没有显示路面	-1
配置+外观；生产日期11/17，提车日期11/27.	1
提速比较慢，尤其是在开空调的情况下。	-1
副驾驶安全带 处 异响。 没有选配。确实有点低 配置	-1
噪音大，特别是在水泥路面，路噪太大了，后期要自己做隔音，刹车异响，有失大众神车水准。	-1
有时候倒挡挂不上，轮毂造型不是特别亮眼，米黄色汽车内饰也没有560的黑色来的高雅	-1
悬架太硬，稍稍不平就很明显感觉到	-1
和一些车主一样，感觉胎噪比较大，加速感觉比较慢	-1
外观，空间，底盘超控在这级别也算是佼佼者了！	1
配置低 落地二十一万的车 什么都是手动	-1
空间有点小，宽十公分，长二十公分多好	-1
变速箱，进取没有电动折叠后视镜，功能。  变速箱的问题下面说	-1
空间，对于家用来说控件绝对大，做6个人，后备箱还能拉东西	1
表面漆薄，车身窄，车身塑料脆。	-1
内饰的整体质感以及细节的做工处理方面还是有很长的路要走。	-1
油耗真的不小，虽然我的表显是10.3但是我总感觉1元公里也只能够	-1
性价比，分时四驱，非承载式车身，越野性能，空间。	1
空间大，外观有面子，该有的都有了	1
小毛病多，无后排出风口，反光镜无电动折叠，车门异响始终无法解决，上油治标不治本	-1
其实并没有，要说有的话，就是空间了	-1
尾箱杆掉价，只有主驾驶窗户一键升降，装配工艺有提高空间	-1
性价比高，油耗比较低。新车异味小。	1
目前没有，要说有 那就是后备箱能不能改成电动了  嘿嘿	-1
副驾驶座椅异响，副驾驶的手套箱不能上锁，车内开门的把手是黑色的，亲戚朋友不熟悉车的人晚上坐车的话有时会找不到把手。	-1
1.5的发动机静音。。底盘高……空间大。。。	1
