comment	score
轮胎噪音大，过坑震动大，因为是防爆轮胎，所以牺牲一些舒适性，拥有多一些安全性值了。	-1
噪音处理不到位，有小异响	-1
明确表示目前没有，将来就看质量稳定性了。	-1
没有导航大屏，后面座椅凸出来一块影响空间	-1
开空调过后发动机噪音偏大，小黑棍一下就拉低了档次！	-1
皮带异响驾驶席玻璃升降级异响	-1
刹车有点软，性价比不高，减配不减价	-1
不是全景天窗，头枕不是软的	-1
没有雾灯，车窗不能一键升降，关闭电源后不能关闭车窗，就这些啦，其它还没发现。	-1
卤素灯就跟蜡烛灯一样，晚上夜路得小心慢开，再赶上下雨就呵呵了。	-1
低速变速箱需要思考人生1秒左右，没办法，双离合通病	-1
内饰做工还有提升空间！	-1
油箱和后背箱的开启方式。还有就是手套箱没有盖。不过也是他的另类之处。	-1
都上10W的车了发动机竟然没有防盗功能，车钥匙竟然跟摩托车钥匙一样，原装CD竟然连USB口都给省了，果断拆了换DVD导航	-1
挂档不是很顺畅。烤漆工艺有待提高，新买的车驾驶室的外门框就脱了个芝麻大的点，开始以为是泥巴一抠才知道是脱漆。	-1
后排不能放倒，只能驾驶门能一键升降，冬天出现冷保护，方向盘存在异响等	-1
噪音有点大，内饰有点硬，座椅好象也不是真皮，	-1
配置有点低了，大屏没有，ESP没有	-1
底档位发动机声音非常大	-1
胎噪，皮薄，毕竟车无完车，人无完人，达到自己预期就行	-1
噪音稍微大了一点，有时中控处和左侧门会有异响，问了4S，说是共振。。。还有一点就是倒挡比较难挂，不知道什么原因有时会需要挂好几下才能挂上，有时一下就OK，我不懂车，不知道什么原因。	-1
车里味道大，尤其是在太阳下暴晒后	-1
就是新车的味道太大	-1
买车的时候太积极了，没有等到优惠就入手了，他们后来入手的都有优惠，呵呵。	-1
车锁及前排出风口异响。	-1
没有倒车雷达，后出风口，智联就是摆设，除了听听歌，4S说支持苹果手机，汗！	-1
DSG问题令人担心，自己驾驶DSG偶尔出现2档、3档突然无动力的情况，通过驾驶已找到尽量避免的方法。	-1
油漆薄，有点两厢车的感觉，	-1
后排太低，石子碰到底盘声音太大	-1
内饰真的是啥都没有，塑料感还很重，而且居然还没有雾灯！	-1
性价比不高，厂家没有什么优惠，销售不热情！！	-1
车轮胎小了点。	-1
液晶仪表盘和按摩座椅等黑科技只有顶配才配备，感觉买一次车就要一步到位，所以只好上旗舰版车型了。	-1
简配太历害了，上坡辅助基本上没有起作用	-1
一档提速发动机干吼速度慢，高速行驶噪音大	-1
保养费用有些高，都快赶上BBA了。车门走烂路有些异响	-1
各种小异响没有雾灯	-1
就是时不时有点小问题！但是后面就又自动消失了！雨刮器是真差！	-1
没有倒车雷达，胎压和蓝牙电话	-1
前空调制冷时会飘散出电木烧焦的臭味，闻久了头痛，开一会得开开窗户透透气。开外循环则没有。送去4S店让清洗空调风道（才不到1年的车啊！）网上也有其他网友反映同样的问题，也许是个例，但也希望厂家引起重视！	-1
车内气味太大，孩子坐了一天就发热，老婆也是。	-1
减震家用还是硬，过坑反馈大，异响	-1
车窗玻璃只能一键降不能一键升	-1
座椅放到需要用旋钮一点一点调，反人类设计。	-1
方向盘异响，档位行程过长，玻璃升降按键掉漆，	-1
近光灯如同蜡烛，不换的话，在市区开车都挺累的。	-1
油耗大，噪音不小！配置太低。价格稍微贵点，优惠太少。	-1
还是减震太硬～我跟朋友说这减震跟面包是的～朋友说还不如面包呢	-1
异响啊还是异响避震太恼火哦	-1
音响，发动机的声音，内饰做工。	-1
手扶箱小，漆薄，天窗设计扯淡…	-1
地盘太低，地盘太低，地盘太低。稍高的减速带就要像乌龟般爬着过	-1
在隔音这方面，胎噪有点大。	-1
新车内饰味道很到，各种办法都想过还是有，也许是新车原因吧，后视镜尽然是手动的刚开始真没注意	-1
外观偏小，较其他同级别车型短些。	-1
冷保护，蜡烛灯。	-1
没油耗显示。还得自己算、。、、、	-1
豪华版也没有倒车影像，所谓的很多功能都要选装！	-1
做分期下来首付都三万五千多了，有点多了，真不如全款，可是没钱，又想买车只能多花钱做分期了，	-1
油耗真是高，家里那台ghibli油耗都没这么高	-1
中控台异响！！！	-1
整车出厂的质控还需进一步加强，有些细节做的不是十分到位	-1
油门踩到底才上170，应该在加点。。	-1
后门没有喇叭，没有防撞钢梁简直就是坑，不太地道	-1
dsg召回，虽然大众声称已完全解决问题，到底如何还有待时间检验。没有水温显示，令人遗憾！	-1
就是减震台硬了过点小坑就	-1
后排中间凸起很高，后备箱空间	-1
就是后挡风玻璃没有雨刷，，	-1
后尾门异响冷保护	-1
导航，哎！说多了都是泪。搜哪没哪，还TM误导。建议用手机导航，靠谱很多。	-1
起步总熄火！由于我是手动的，以前开的老捷达，抬离合车就走了，轩逸的怠速低，抬离合如果不给油就熄火了	-1
就是开了一段时间，发现噪音有点大。	-1
噪音，后桥异响，	-1
味道，做工这两点就是5系车型在国产化后饱受诟病，都对国产车工艺持质疑态度。	-1
油耗就不说了。。。速度快的时候开窗，天窗帘响动太大！电子系统小毛病略多比如经常显示未发现遥控钥匙。。。还有防盗什么关闭了种种。安吉星给转接通用感觉通用的客服完全是现翻说明书的等半天回答一句标准答案最多的解决方案就是前往最近的4S.	-1
钢圈钢圈钢圈钢圈，没有几个车用钢圈了？	-1
刹车片有异响，4S说，是刹车片有旷量，需要改下刹车片，但不影响使用，目前没修，以后再说吧。跟个经典款的车友交流了一下，他的车也有这个问题，瞬间感觉心理平衡了。	-1
后排空间较小，扶手箱太靠后，中控、减震异响。	-1
异响，塑料件多了，导致冬天异响特别明显，对于我们有些许的强迫症的人来说，是最不能忍受的一点，也是大众不应该的一点。	-1
内饰，提车回来朋友说内饰塑料感太强，另外关车门感觉像老的桑塔纳	-1
座椅调整。还是手动转的	-1
捷达的内部空间利用不是很合理，后排座椅的背面是钢板，导致后排座椅既不能整体放倒	-1
起步有点肉肉的，感觉像开船	-1
内饰老旧，科技感不是那么的高，而且没有宝马奔驰品牌硬吧，大家普遍会问，为什么花这么多钱买这个A4，有什么区别吗，新C多好了，什么什么之类的话	-1
内饰塑料感强无电耳无倒车影像	-1
发动机没有跟新，老发动机有待观察希望不烧机油	-1
渣变速箱，好好的169马力直喷发动机被变速箱给毁了，不得不说变速箱确实是通用的弱项，这个双离合更是威朗的弱点。刚提车时没动静，现在低速1、2档过减速带，起步换挡偶尔能听见响声，倒车加油门有时候开窗也能听见响声。滑行减速在30左右有明显的拖拽感，像踩了刹车，到了时速18左右又有突然放开刹车的感觉。	-1
买前是爷，买后孙子	-1
没有导航，车子现在方向有点向右偏，首保的时候找4S看看，油耗有点高，高速开空调9个多点，在市区13左右，不知道首保后会不会降点。说断袖不知道真的假的	-1
作为一个新手都感觉到起步太肉，发动机声音有点大～	-1
几十万的豪车的内饰居然会出现异响，作为新车我是不能忍受的啊。	-1
冷车启动哗啦啦异响很闹心！起步略肉但是我又不飙车到也还说的过去！主驾驶座椅电动副驾驶干嘛要手动呢？加个自动成本很高吗？不理解	-1
噪音…噪音…噪音…重要的事情要说三遍！	-1
都精英了，副驾没有电座椅，没上窗亮条。	-1
好像还没有吧，要说有就是保养周期太短了！！！	-1
120公里/小时以上噪音。	-1
异响挺多，特别在起伏路面上，胎噪有些大，上高速发动机声音比较大，没有标配ESP等。	-1
比同排量别的车动力要弱；开车完以后感觉前盖比别的车要热；早晨出门起步的时候感觉油门会有绑、绑的两下，不知道怎么回事	-1
漆面有些软或薄了	-1
中控异响啊，各种嘎吱嘎吱没完没了。2016款、连个大屏幕都没有~	-1
目前暂时没有发现，个人觉得911应该选GTS才给力。	-1
就是充电孔太少了想听歌就不能充电，想充电就不能听歌，	-1
在车子的上市的时候就觉得车子的发展还是比较的执着的，一直都是进口的方式进入中国	-1
中控台有点嗡嗡声音，排气管怠速的时候突突的声音。	-1
排气管是单出的，这个价位的车怎么也应该是双边单出排气管啊	-1
无缘无故的全车没电，应该是有缺陷，好多车友都反映有这问题。	-1
空间……但选择高尔夫就注定不能纠结这个。	-1
提速时噪音比较大遥控锁车时连个提示音也没有	-1
较之老款细节上有减配，驾驶员侧文件盒没了，多功能方向盘减了蓝牙电话按钮。	-1
油耗11.5希望首保后降到10以下	-1
音响和十万级别的小车有得一拼，讲起来也是四五十万的中型车了，多装几个喇叭会死啊，建议定车的朋友有条件必须加装哈曼音响	-1
只有四驱顶配有ESP其他无ESP	-1
后保险杠简配太不应该。	-1
锁车没有自动升降玻璃，没有日间行驶灯。	-1
内饰，细节不到位，面上过得去，日间灯有雾气，左右前排门里有花花的异响估计里面有异物，	-1
怠速声音比较大，突突突，给人感觉很廉价，嘿嘿	-1
内饰太简单，悬挂硬	-1
已经出现5次泊车辅助系统故障的提示，没时间还未去检查。小问题不影响使用。	-1
不是疝气灯，1.5T只有黑内饰，目前只能在汽车之家购买；	-1
半坡起步无力，转速必须到2500转才能起步	-1
油耗有点高，巿区13升／百公里	-1
在30万价格区间自称是自动豪华版的车子中，这部车的大灯毅然放弃疝气，而且后视镜不匹配电加热功能，喇叭和室内音响也不入流，的确让拥有他的车主门费解！	-1
1.气味，地球人都知道；2.油耗15，跟口碑中其他油耗相去甚远，可能一直开空调，还有平均时速不到二十吧，请知道原因的大神不吝赐教；3.GJ了一百遍，一百遍……	-1
B柱有点小异响，副驾没有腰部支撑最不能忍	-1
悬挂有点硬，过减速带太明显颠簸，在一个就是油耗，比心目中高一个油，虽然是新手新车，但市区环线国道各三分之一的情况下8.8略高。	-1
也就是刚买车的时候有点气味。	-1
后排座椅不能完全平放如床即使放下来做床那就几乎没得后备箱用了	-1
配置太低无加热无电耳无备胎无自动空调	-1
网上说的个别漏油和后备箱漏水，心有顾虑，车刚到手，暂未发现。（只跑了100）	-1
油耗稍微有点超出我的预料，有点高，另外的话就是车子的销量比较少，所以保值率这一块可能会很低，相对于其他同等品牌来说，会吃亏。不过也不要紧，车子是买给自己开的！	-1
车内中控台是硬塑料。	-1
没有涡轮增压后期的爆发力，整车开起来，就是平顺，线性	-1
真的很颠簸，路感十分强烈，像路面不平探测器	-1
车子稍微宽度窄了点，没有扶手箱。	-1
不知道是不是第一辆车的原因，冷车刹车异响非常的恼火	-1
个人感觉处处透露出车子的短板，各种的问题，但是明显的还是内饰过分简单还有就是车子的抖动比较严重	-1
锐腾的内饰真是没法说，就和车友说的一样，RX5是亲生的，锐腾是保养得。	-1
车门异响和中控异响油耗	-1
后排座椅只能整体放倒。。。	-1
装配中有很多小瑕疵，工人素质有待加强！G行车没有，也没有一分钱补助，不知吉利什么意思！非常伤心！	-1
没有ESP，但是我开车比较中规中矩，应该没有也没多大问题吧。	-1
不能个性化选配，特殊颜色等车时间过长。	-1
对我这寿人来说座椅太大太高了	-1
后驱雨雪天怎么办，据说下雪天不能开。	-1
噪音动力噪音真的比较大发动机传动轴胎噪都是比较大的开车时必须把音乐开车不然真有点不能接受	-1
买车时什么都不送	-1
这几天低速时吱吱有响声，不知那里毛病，哪天去4S店看看，五座车后排不能调节，没有头抌，加油时要下车开油箱锁	-1
发动机的声音有点大，还在接受的范围内。	-1
隔音有待提高，还有就是车漆很薄	-1
速度，堵车，换挡有炖错，来回加油收油，炖错没有了。	-1
有时候挂倒挡有打齿的情况发生漆面薄前两天被什么东西擦伤的左前门漆面	-1
空间在同级车中比较小，储物空间也小，油耗稍高	-1
车太长都达到了四米九五六了	-1
噪音！噪音！噪音！重要的事情继续说三遍！发动机噪音，轰轰轰！空调，哒哒哒！胎噪，沙沙沙！开车的时候那个万马奔腾，突然踩深点油门，想加速的时候，震动，噪音一起来，而且速度提不上去。准备去做发动机那里的隔音，个人觉得没必要做全车隔音，因为拆车的话，我就觉得很烦恼了。	-1
中央扶手不能前后移动，没有后排出风口	-1
1档升2档平顺性	-1
